Order_ID,Product_ID,Product_Category,Quantity,Unit_Price,Total_Price,Discount,Order_Date,Customer_ID,Payment_Type,Order_Status,Marketing_Campaign_Status,Clicks,Add_to_Cart,Seasonality
a922a521-a779-4453-a4fb-4557e4074fbb,0541b0aa-73de-4557-9d8c-542a163c0c94,Sports & Outdoors,3,437.09,1311.27,623.32,01/01/2023,ccb9b880-a43a-4f6e-bd89-b7613e74a014,Debit Card,Completed,None,91,70,New Year
59374294-229c-453e-bc99-56203f9b3af9,ec5b6d91-fd20-4762-b266-69daddde35e9,Beauty & Health,4,758.79,3035.16,908.51,01/01/2023,ed30f0ef-5a6c-4869-93da-0bf71ce14489,Credit Card,Completed,Email Campaign,34,33,New Year
6741e7ef-0b75-47dc-a8a8-ddf8a8564919,876d31ee-0841-4783-83f7-2a76cb7f5454,Beauty & Health,2,240.42,480.84,37.5,01/01/2023,bb28fdf3-ac50-449a-b335-0d7aef902a82,Cash on Delivery,Completed,Influencer Promo,40,1,New Year
91ea1664-b3ab-42f7-8377-4a1aa2f55486,8db50c52-18f0-422f-96f2-9d47d8f889ef,Sports & Outdoors,4,152.28,609.12,263.8,01/01/2023,ed4fa796-cfd8-4a75-a209-ac42302106db,PayPal,Completed,Email Campaign,48,7,New Year
91ea1664-b3ab-42f7-8377-4a1aa2f55486,3990de2a-fb42-4601-9825-5233f3672777,Electronics,4,641,2564,907.75,01/01/2023,e134c32b-6306-4375-9a63-a88e866b3cba,Credit Card,Completed,Flash Sale,82,34,New Year
8e1654b0-cda4-4c2e-a912-6f6c05b76a63,26e958b0-be9a-45f3-a3ad-d9e0c202e046,Sports & Outdoors,4,118.53,474.12,229.93,01/01/2023,420a1dfe-5594-4367-9e21-718eb670ff2d,Credit Card,Refunded,Social Media,15,9,New Year
492785c1-81d4-41a8-b8ed-78a215546efd,26a99628-7649-4a86-8704-52b2c66d8b84,Sports & Outdoors,5,849.2,4246,450.8,01/01/2023,42b30662-9a74-4527-be65-b3def5856270,PayPal,Completed,None,10,4,New Year
492785c1-81d4-41a8-b8ed-78a215546efd,a62d6242-2a64-4f13-99cd-2e27c3088897,Clothing,1,263.64,263.64,24.18,01/01/2023,22c27681-01c8-4a65-a032-0b34c9217ad9,Debit Card,Cancelled,Social Media,40,30,New Year
492785c1-81d4-41a8-b8ed-78a215546efd,e6de2aca-b0c6-4fdf-92a8-c547953d35fb,Sports & Outdoors,3,373.82,1121.46,294.25,01/01/2023,4157e341-57eb-486f-b253-8a57aae51d46,Debit Card,Completed,Email Campaign,90,35,New Year
01ed4129-4d87-483c-b7bd-03e749025f8b,345ab57d-e58c-4a5b-9a75-54e88461fa75,Beauty & Health,1,374.15,374.15,18.27,02/01/2023,893eb965-ad74-47b8-9b06-e0dc4070390f,PayPal,Cancelled,Influencer Promo,82,26,None
b4321626-aba1-4951-b85b-286c1853e763,b1a0012f-97ac-4b74-a42f-4025e4bbf9e6,Beauty & Health,2,488.75,977.5,142.34,02/01/2023,f6a7bf29-ec54-4af8-996a-94777167bb27,Debit Card,Completed,Flash Sale,86,72,None
b4321626-aba1-4951-b85b-286c1853e763,a50e92d9-fc19-4d4f-ab24-d464d13e098e,Home & Kitchen,3,650.67,1952.01,136.15,02/01/2023,951b2f36-69a9-4c29-97df-2c6c75b0db35,Credit Card,Completed,None,45,26,None
d5c5682b-b415-49cc-a017-5d29319b5299,e366ca56-96b2-418a-83a1-34400bb84166,Electronics,2,362.93,725.86,132.96,02/01/2023,e10db749-cc22-44d3-9272-e148012450e4,PayPal,Completed,Social Media,55,42,None
d5c5682b-b415-49cc-a017-5d29319b5299,d59956f4-c53a-4631-b480-1577946e7abc,Books,2,510.46,1020.92,400.8,02/01/2023,06450883-9b0d-403b-80e0-11d2a679aaa6,PayPal,Completed,Influencer Promo,73,34,None
d5c5682b-b415-49cc-a017-5d29319b5299,e2279fa0-1d67-488f-8ca1-2f09970cecda,Sports & Outdoors,5,279.71,1398.55,359.59,02/01/2023,0ade9763-d71b-4860-91f5-2367952b9b7c,Cash on Delivery,Cancelled,Social Media,51,15,None
c285a7f1-a9f0-4d8b-8786-bf48c6701415,21e94396-3bd3-425e-83bf-88cf3d5c25e9,Beauty & Health,4,633.17,2532.68,58.82,02/01/2023,9bd18332-941c-4638-81d9-c01a3865b065,Credit Card,Pending,None,24,21,None
c285a7f1-a9f0-4d8b-8786-bf48c6701415,387ccb8e-b4c1-41b8-aff7-6a104e8a01aa,Home & Kitchen,4,646.79,2587.16,220.59,02/01/2023,ab73ed8e-c219-4227-8516-0a59e9773e42,Credit Card,Completed,Influencer Promo,64,33,None
a93a92b4-9338-466f-940c-8dde67cecbdb,9c135d8d-30c6-4870-b78b-c2d0956bc9c0,Sports & Outdoors,1,158.55,158.55,75.22,02/01/2023,b2511dca-78a7-4090-82bc-875089fcf001,PayPal,Pending,Flash Sale,19,10,None
01ed4129-4d87-483c-b7bd-03e749025f8b,c99bb479-b3f5-420e-a740-48a5c1fc870e,Home & Kitchen,4,969.07,3876.28,1566.79,02/01/2023,39381587-93bc-4c85-9ab8-6275c1901c89,Credit Card,Refunded,Flash Sale,69,23,None
01ed4129-4d87-483c-b7bd-03e749025f8b,69f90a3f-7ada-4e2b-9aeb-5607d806cd72,Home & Kitchen,3,715.81,2147.43,472.6,02/01/2023,3970d129-cae7-4331-aa3d-22caf16ab976,Debit Card,Completed,Influencer Promo,5,5,None
01ed4129-4d87-483c-b7bd-03e749025f8b,9736f8e7-b144-4fb3-9323-38bd26bdaa5b,Clothing,4,209.83,839.32,207.81,02/01/2023,2db94af3-45a0-4d18-98d9-be6a300393f8,Credit Card,Completed,Flash Sale,44,16,None
a5ba7a21-d35f-4b41-b572-f6bff1252eeb,79db4130-df72-4af0-877a-9fa1c90f2377,Home & Kitchen,5,130.95,654.75,297.69,02/01/2023,b9ef8c96-2c0a-4652-a081-bdc33d6689d3,Credit Card,Completed,Social Media,13,13,None
ffefa400-4c46-4d6f-b129-6e789211b739,e4aec833-6290-4ea6-bc92-453445e64462,Sports & Outdoors,2,794.14,1588.28,58.8,03/01/2023,4641bc50-b59f-414d-8601-a8fa6b630e5c,Cash on Delivery,Completed,Influencer Promo,36,3,None
